left,right,value
space,V,-31
ampersand,V,-123
ampersand,W,-102
ampersand,X,-20
ampersand,v,-51
ampersand,w,-10
asterisk,V,-20
asterisk,W,-31
asterisk,X,-113
asterisk,w,41
asterisk,lslash,20
comma,j,82
comma,jcircumflex,82
slash,slash,-307
slash,X,-41
slash,p,-82
slash,v,-20
slash,w,-20
slash,x,-61
slash,germandbls,-41
semicolon,j,82
semicolon,jcircumflex,82
less,V,-20
less,W,-51
less,X,-41
equal,V,-61
equal,W,-41
equal,X,-102
equal,v,20
equal,x,-20
equal,lslash,41
greater,V,-72
greater,W,-31
greater,X,-92
greater,x,-31
greater,Lslash,41
greater,lslash,82
at,V,-113
at,W,-102
at,X,-72
at,v,-31
at,w,-10
at,x,-20
A,g,-20
A,gcircumflex,-20
A,gbreve,-20
B,ampersand,-10
B,asterisk,-31
B,slash,-41
B,less,-41
B,question,-61
B,V,-41
B,W,-20
B,X,-31
B,backslash,-61
B,v,-31
B,w,-20
B,x,-41
B,registered,-41
B,periodcentered,-51
B,multiply,-20
B,dagger,-31
B,daggerdbl,-10
B,bullet,-41
B,servicemark,-41
B,trademark,-41
F,ampersand,-61
F,asterisk,-20
F,slash,-92
F,less,-10
F,greater,-41
F,at,-31
F,p,-61
F,v,-61
F,w,-41
F,x,-123
F,registered,-20
F,periodcentered,-41
F,multiply,-41
F,germandbls,-61
F,bullet,-31
P,ampersand,-61
P,slash,-174
P,greater,-20
P,V,-10
P,X,-82
P,backslash,-61
P,v,20
P,w,20
P,x,-20
P,germandbls,-20
P,lslash,20
P,bullet,41
P,trademark,-20
Q,slash,-41
Q,j,41
Q,jcircumflex,41
T,igrave,41
T,icircumflex,82
T,idieresis,82
T,imacron,82
T,jcircumflex,82
T,rcaron,-61
T,scaron,-133
T,zcaron,-102
V,space,-51
V,ampersand,-102
V,asterisk,-20
V,slash,-164
V,less,-102
V,equal,-82
V,greater,-51
V,question,-20
V,at,-41
V,V,-10
V,W,-10
V,X,-41
V,p,-102
V,v,-41
V,w,-61
V,x,-102
V,registered,-20
V,periodcentered,-102
V,multiply,-10
V,germandbls,-82
V,icircumflex,41
V,idieresis,61
V,imacron,41
V,jcircumflex,20
V,lslash,-20
V,dagger,-31
V,daggerdbl,-20
V,bullet,-92
W,ampersand,-72
W,asterisk,-10
W,slash,-123
W,less,-41
W,equal,-41
W,greater,-31
W,question,-10
W,at,-41
W,V,-20
W,W,-10
W,X,-41
W,p,-72
W,v,-41
W,w,-31
W,x,-72
W,registered,-20
W,periodcentered,-72
W,multiply,-20
W,germandbls,-41
W,igrave,20
W,icircumflex,20
W,idieresis,20
W,imacron,20
W,jcircumflex,20
W,dagger,-20
W,daggerdbl,-20
W,bullet,-31
W,servicemark,-10
X,ampersand,-61
X,asterisk,-61
X,less,-123
X,equal,-102
X,greater,-61
X,question,-41
X,at,-51
X,V,-20
X,X,-31
X,p,-41
X,v,-123
X,w,-72
X,x,-20
X,registered,-41
X,periodcentered,-164
X,multiply,-72
X,dagger,-61
X,daggerdbl,-41
X,bullet,-154
X,servicemark,-20
Y,atilde,-123
Y,edieresis,-123
Y,igrave,41
Y,icircumflex,61
Y,idieresis,82
Y,otilde,-123
Y,ccaron,-123
Y,ecaron,-123
Y,imacron,82
Y,jcircumflex,82
Y,rcaron,-41
Y,scaron,-133
backslash,V,-164
backslash,W,-123
backslash,X,-61
backslash,b,-20
backslash,v,-102
backslash,w,-82
backslash,x,-20
backslash,Lslash,-20
backslash,lslash,-20
q,j,82
